Accident_ID,City,Latitude,Longitude,Date,Time,Severity,Vehicle_Type,Weather,Road_Condition,Road_Type,Light_Condition,Speed_Limit,Casualties
38,Kolkata,22.500821093491098,88.48596639658007,2024-01-12,09:31,Minor,Bus,Clear,Wet,City Road,Night,60,0
39,Mumbai,19.012141182557478,72.77067241409533,2024-08-15,21:16,Major,Auto,Clear,Wet,Rural Road,Daylight,100,1
40,Mumbai,19.21077479716845,72.73927477516607,2024-01-10,23:29,Minor,Car,Rainy,Dry,City Road,Street Lights,30,1
41,Bangalore,12.83454923767273,77.70290978993323,2024-12-07,16:12,Minor,Car,Clear,Under Construction,City Road,Daylight,80,0
42,Jaipur,26.9379630063095,75.80276224494796,2024-01-23,04:52,Minor,Truck,Clear,Dry,City Road,Daylight,30,3
43,Ahmedabad,22.89977086634115,72.67361414575188,2024-03-12,06:25,Major,Bus,Clear,Wet,City Road,Street Lights,30,3
44,Delhi,28.665530075966814,77.3184905246026,2024-03-06,10:50,Minor,Bike,Cloudy,Dry,City Road,Daylight,60,5
45,Kolkata,22.651123790138406,88.39035604456511,2024-05-12,03:09,Minor,Bike,Rainy,Dry,City Road,Daylight,100,2
46,Bangalore,12.826055964037606,77.66776844124753,2024-04-20,22:54,Major,Car,Foggy,Under Construction,Rural Road,Daylight,40,3
47,Chennai,13.040279390530205,80.20727017341902,2024-11-12,21:20,Fatal,Car,Rainy,Wet,Highway,Street Lights,30,2
48,Mumbai,19.117167119255242,72.97407080580606,2024-08-26,23:29,Minor,Bus,Clear,Dry,Rural Road,Daylight,60,1
49,Jaipur,26.97637529780682,75.79282044090873,2024-01-14,22:13,Minor,Truck,Foggy,Under Construction,City Road,Street Lights,60,2
50,Chennai,13.054043263960738,80.34284907496144,2024-01-15,22:36,Major,Bicycle,Rainy,Wet,Highway,Daylight,80,1
51,Hyderabad,17.21086548885823,78.45541727990155,2024-08-20,12:17,Minor,Bike,Foggy,Dry,Rural Road,Night,30,0
52,Chennai,13.194358554874286,80.16592805679905,2024-08-13,23:58,Minor,Bus,Rainy,Under Construction,City Road,Night,100,3
53,Jaipur,26.926317306333566,75.85992975577939,2024-03-15,03:14,Major,Car,Rainy,Under Construction,Rural Road,Night,50,2
54,Chennai,13.029690099284332,80.31634789348746,2024-04-27,03:18,Major,Bicycle,Cloudy,Wet,Highway,Night,50,2
55,Jaipur,27.135102193879124,75.65841955120358,2024-06-09,05:49,Major,Bus,Clear,Under Construction,Highway,Daylight,30,3
56,Delhi,28.556032873403904,77.4037078462722,2024-04-03,16:04,Major,Car,Rainy,Under Construction,Rural Road,Daylight,100,2
57,Hyderabad,17.375411926450752,78.49579835681703,2024-12-26,04:13,Minor,Bicycle,Rainy,Wet,Highway,Daylight,40,2
58,Delhi,28.573837089406595,77.36156151215285,2024-04-13,13:31,Minor,Car,Clear,Dry,Rural Road,Street Lights,40,2
59,Kolkata,22.389475099445363,88.47849855339621,2024-03-07,06:50,Major,Auto,Clear,Wet,Rural Road,Street Lights,60,1
60,Chennai,13.045951128036782,80.20271245044282,2024-10-15,03:21,Minor,Bus,Clear,Under Construction,Highway,Daylight,80,3
61,Jaipur,27.025540101008996,75.74941289752184,2024-04-04,18:50,Minor,Bike,Rainy,Under Construction,City Road,Daylight,100,5
62,Mumbai,19.05977230242639,72.88145323479603,2024-11-11,10:11,Fatal,Auto,Cloudy,Dry,Rural Road,Night,30,0
63,Hyderabad,17.33461026835034,78.47202246771228,2024-02-20,13:39,Minor,Bike,Rainy,Wet,Rural Road,Daylight,30,2
64,Jaipur,26.828029048890713,75.7289420718157,2024-05-28,14:08,Major,Truck,Foggy,Dry,City Road,Street Lights,100,2
65,Mumbai,18.95154000193027,72.65492914841744,2024-12-12,16:42,Fatal,Bicycle,Cloudy,Dry,Rural Road,Night,80,0
66,Ahmedabad,23.105606091608955,72.51554271773477,2024-05-29,17:20,Fatal,Auto,Cloudy,Dry,Rural Road,Daylight,80,3
67,Kolkata,22.50999650358124,88.41784243749974,2024-07-29,16:44,Major,Bike,Rainy,Wet,Highway,Night,100,3
68,Kolkata,22.544077432804475,88.38296370096971,2024-09-20,22:38,Major,Bus,Cloudy,Wet,Rural Road,Daylight,30,3
69,Delhi,28.55754239172324,77.15073478800417,2024-09-11,07:53,Major,Truck,Cloudy,Wet,City Road,Street Lights,60,3
70,Hyderabad,17.29851493379201,78.53597484855554,2024-08-10,22:47,Major,Car,Foggy,Dry,Rural Road,Daylight,50,0
71,Hyderabad,17.49438962037776,78.5633603060922,2024-10-29,04:19,Minor,Bus,Clear,Dry,City Road,Night,30,2
72,Mumbai,19.04664214408957,72.91549173142715,2024-12-07,11:23,Major,Truck,Rainy,Under Construction,Highway,Night,50,0
73,Delhi,28.638524141511365,77.07218652858748,2024-08-24,06:08,Fatal,Bike,Clear,Dry,City Road,Street Lights,80,1
74,Bangalore,12.981251778079583,77.69956735597997,2024-02-11,03:40,Major,Auto,Rainy,Wet,Highway,Street Lights,30,2
75,Jaipur,26.932882378745113,75.86591527871565,2024-09-24,12:56,Major,Bicycle,Cloudy,Wet,City Road,Street Lights,30,3
76,Bangalore,12.98337662634957,77.5767966822263,2024-01-29,20:10,Major,Truck,Rainy,Wet,Rural Road,Street Lights,100,1
77,Kolkata,22.503931377585506,88.41992479035272,2024-02-05,14:19,Fatal,Truck,Rainy,Dry,City Road,Night,80,2
78,Delhi,28.628287633498246,77.18221181820991,2024-08-04,10:39,Major,Auto,Cloudy,Under Construction,City Road,Night,40,1
79,Hyderabad,17.32682902593401,78.46689850915588,2024-10-31,16:09,Fatal,Truck,Cloudy,Under Construction,Highway,Daylight,80,2
80,Kolkata,22.575779335672834,88.3648078783181,2024-03-29,11:14,Major,Bike,Cloudy,Under Construction,Highway,Street Lights,40,1
81,Chennai,12.926501050159146,80.248340074736,2024-11-30,20:06,Fatal,Truck,Rainy,Under Construction,City Road,Street Lights,30,4
82,Kolkata,22.460187206210843,88.40398266748139,2024-07-06,12:33,Major,Car,Cloudy,Dry,City Road,Daylight,80,3
83,Mumbai,18.8642197696082,72.93606342133087,2024-04-17,01:54,Minor,Bike,Cloudy,Under Construction,Rural Road,Street Lights,100,2
84,Hyderabad,17.383057817608645,78.4422820800697,2024-09-28,23:43,Major,Bicycle,Clear,Under Construction,Highway,Night,100,3
85,Mumbai,18.995668738659834,72.81627619479167,2024-06-01,15:00,Minor,Car,Cloudy,Under Construction,City Road,Daylight,80,1
86,Chennai,13.069442155748272,80.20465321255861,2024-11-14,13:23,Fatal,Truck,Cloudy,Dry,Rural Road,Night,80,2
87,Bangalore,12.846003172987412,77.60051703712588,2024-08-13,08:48,Minor,Bus,Rainy,Dry,Highway,Street Lights,40,4
88,Bangalore,13.035272520387798,77.67848247508061,2024-08-03,02:31,Fatal,Auto,Rainy,Under Construction,Highway,Street Lights,50,3
89,Hyderabad,17.336629777711863,78.48422394816545,2024-08-13,11:41,Minor,Bicycle,Cloudy,Under Construction,Highway,Night,40,3
90,Kolkata,22.64519958147338,88.36677156398142,2024-11-18,23:39,Fatal,Truck,Cloudy,Dry,Rural Road,Street Lights,30,2
91,Chennai,13.122893330574962,80.3392956745374,2024-06-18,03:26,Fatal,Bike,Clear,Under Construction,Rural Road,Street Lights,40,1
92,Mumbai,19.032648070048918,72.92881128367495,2024-02-08,17:35,Minor,Auto,Rainy,Under Construction,Highway,Daylight,30,2
93,Ahmedabad,23.082764341526214,72.46338012704457,2024-12-09,12:34,Minor,Bike,Clear,Wet,Rural Road,Street Lights,100,0
94,Chennai,13.046985310835959,80.28622719943186,2024-08-06,16:11,Major,Car,Rainy,Wet,Rural Road,Night,40,0
95,Kolkata,22.527886252218273,88.39407695000516,2024-01-07,10:32,Major,Bike,Rainy,Wet,City Road,Daylight,60,2
96,Delhi,28.71779277873315,77.21761438957813,2024-03-15,19:31,Major,Bicycle,Foggy,Under Construction,Rural Road,Daylight,100,0
97,Hyderabad,17.237258205242288,78.4413664469992,2024-02-27,05:14,Major,Bike,Foggy,Under Construction,City Road,Daylight,30,2
98,Chennai,13.13931724329997,80.3285032064232,2024-06-22,17:51,Major,Bus,Clear,Wet,Rural Road,Night,30,0
99,Kolkata,22.51848861583526,88.50797523463287,2024-06-14,15:56,Minor,Bike,Cloudy,Under Construction,Highway,Daylight,80,1
100,Mumbai,19.001038239648008,73.00720416200166,2024-04-04,05:31,Minor,Bicycle,Cloudy,Under Construction,City Road,Night,60,6
101,Hyderabad,17.479673139963136,78.43384342013943,2024-08-29,00:01,Major,Bike,Rainy,Under Construction,City Road,Night,40,2
102,Kolkata,22.64614422957662,88.40810192682068,2024-04-15,22:43,Major,Truck,Foggy,Wet,Highway,Night,30,0
103,Jaipur,26.789700101943215,75.85619021351668,2024-07-22,07:07,Fatal,Bus,Rainy,Wet,City Road,Night,50,4
104,Jaipur,27.05127710425322,75.80313286267702,2024-01-12,22:11,Fatal,Bus,Clear,Dry,Rural Road,Daylight,50,2
105,Hyderabad,17.52320345360806,78.52160589357392,2024-05-29,04:31,Minor,Auto,Clear,Wet,Rural Road,Street Lights,30,2
106,Jaipur,26.999683688173175,75.77844132567354,2024-06-07,23:19,Minor,Car,Cloudy,Wet,Highway,Night,60,4
107,Mumbai,19.181355485058607,72.91284422061452,2024-10-21,09:50,Major,Auto,Foggy,Dry,Rural Road,Night,60,2
108,Ahmedabad,23.155295808218025,72.67345155861005,2024-01-14,13:01,Minor,Bus,Clear,Under Construction,City Road,Street Lights,30,2
109,Hyderabad,17.292554556151543,78.51223786737565,2024-12-10,01:34,Fatal,Truck,Rainy,Under Construction,City Road,Night,40,3
110,Chennai,13.162401345555772,80.2311994733471,2024-09-13,04:19,Minor,Truck,Clear,Under Construction,Highway,Daylight,30,3
111,Delhi,28.576482978228732,77.35229150294902,2024-07-25,05:43,Fatal,Car,Foggy,Dry,City Road,Daylight,30,1
112,Jaipur,26.86249038431919,75.74436091678068,2024-02-28,04:32,Minor,Auto,Rainy,Under Construction,Rural Road,Night,40,1
113,Delhi,28.6872062139762,77.23671907807184,2024-08-10,23:46,Minor,Bicycle,Clear,Wet,City Road,Street Lights,40,2
114,Chennai,13.104825532207595,80.2186429170124,2024-12-17,05:04,Minor,Bike,Clear,Wet,Rural Road,Daylight,60,4
115,Bangalore,12.98740527921379,77.63053827479358,2024-10-15,00:18,Minor,Bicycle,Foggy,Dry,Highway,Daylight,30,4
116,Ahmedabad,22.995739399491463,72.58789527856234,2024-06-07,08:10,Major,Bicycle,Rainy,Wet,Highway,Daylight,50,2
117,Chennai,13.0706955530374,80.28074611627773,2024-11-05,06:24,Major,Truck,Cloudy,Dry,Highway,Daylight,30,2
118,Ahmedabad,22.919048374108307,72.52332208295972,2024-09-23,02:07,Fatal,Bike,Rainy,Dry,Highway,Night,30,3
119,Hyderabad,17.39216865279421,78.39218848133609,2024-10-26,03:14,Minor,Auto,Foggy,Under Construction,Rural Road,Street Lights,80,3
120,Hyderabad,17.39534455801331,78.51710379707671,2024-02-20,14:03,Minor,Auto,Cloudy,Wet,Rural Road,Daylight,60,2
121,Bangalore,12.905285753530727,77.6076781983334,2024-06-06,17:01,Minor,Truck,Foggy,Under Construction,City Road,Street Lights,80,1
122,Jaipur,26.864290588483904,75.8128825547314,2024-10-24,23:35,Major,Bus,Cloudy,Dry,City Road,Street Lights,50,1
123,Chennai,13.179192271653648,80.30141772420376,2024-08-01,08:25,Minor,Auto,Rainy,Dry,City Road,Street Lights,80,1
124,Hyderabad,17.449232129451655,78.44186414788084,2024-02-29,06:09,Minor,Auto,Foggy,Dry,Rural Road,Night,30,2
125,Jaipur,26.80745278974687,75.7988400018254,2024-10-19,14:34,Minor,Auto,Clear,Wet,Highway,Night,50,2
126,Jaipur,26.848106034562424,75.91842934443552,2024-05-04,06:40,Minor,Bike,Rainy,Wet,Rural Road,Daylight,100,2
127,Hyderabad,17.33846552688411,78.40551946154457,2024-03-10,08:38,Minor,Bike,Cloudy,Dry,Rural Road,Daylight,100,0
128,Ahmedabad,23.05951010683049,72.74082847597006,2024-02-27,02:21,Minor,Bus,Rainy,Dry,Highway,Daylight,30,5
129,Jaipur,26.839203274577386,75.79380214742136,2024-04-30,22:15,Minor,Bus,Foggy,Wet,Highway,Street Lights,60,0
130,Bangalore,12.97743974047787,77.65700625437732,2024-04-30,20:19,Major,Car,Clear,Wet,City Road,Daylight,100,1
131,Hyderabad,17.299352452941154,78.41552031185708,2024-03-06,08:20,Minor,Truck,Cloudy,Wet,Rural Road,Night,60,1
132,Mumbai,19.142905897839643,72.8802013501799,2024-05-22,21:59,Major,Truck,Rainy,Wet,City Road,Night,100,3
133,Bangalore,12.918152763708557,77.67396338796293,2024-03-13,14:20,Minor,Truck,Rainy,Wet,City Road,Night,30,0
134,Mumbai,19.07399784330039,72.94312130393602,2024-04-19,15:53,Minor,Bus,Clear,Under Construction,Highway,Daylight,100,5
135,Hyderabad,17.309853168494502,78.47517299554227,2024-06-08,10:01,Minor,Truck,Rainy,Wet,Highway,Night,100,1
136,Bangalore,13.023273426063506,77.70454476105432,2024-03-23,08:34,Major,Bicycle,Foggy,Under Construction,Highway,Street Lights,30,0
137,Chennai,12.959956109889244,80.34369481994074,2024-11-03,03:59,Minor,Truck,Cloudy,Wet,City Road,Street Lights,80,4
138,Chennai,13.036579167941863,80.06341661662842,2024-09-02,05:14,Major,Auto,Clear,Wet,City Road,Daylight,80,2
139,Chennai,13.003171501356626,80.26822488022755,2024-07-06,10:20,Minor,Bus,Rainy,Wet,Rural Road,Daylight,80,1
140,Hyderabad,17.36043240922311,78.56879234251174,2024-02-11,12:48,Minor,Bike,Rainy,Wet,Highway,Street Lights,40,4
141,Ahmedabad,23.044623493351413,72.63535994028032,2024-03-19,16:59,Fatal,Auto,Cloudy,Dry,Highway,Street Lights,50,2
142,Delhi,28.549700581343068,77.31290490598776,2024-08-15,10:51,Minor,Auto,Clear,Wet,City Road,Night,100,2
143,Jaipur,26.99208381486447,75.72675639291444,2024-11-24,01:14,Major,Bicycle,Clear,Dry,Highway,Night,100,1
144,Jaipur,27.02884949520649,75.93124172600152,2024-12-16,15:31,Minor,Car,Cloudy,Wet,Rural Road,Daylight,30,1
145,Ahmedabad,22.883481619595898,72.4155693189343,2024-04-23,21:51,Minor,Bicycle,Clear,Dry,Rural Road,Night,100,1
146,Jaipur,26.88440174982765,75.8312579833999,2024-01-18,20:12,Minor,Truck,Cloudy,Wet,City Road,Street Lights,30,3
147,Kolkata,22.710991292361587,88.38791537300801,2024-09-14,20:14,Fatal,Truck,Foggy,Dry,City Road,Street Lights,80,0
148,Chennai,13.13550084744937,80.38551976211781,2024-04-27,18:22,Minor,Car,Cloudy,Dry,Rural Road,Daylight,60,4
149,Ahmedabad,23.042101487636838,72.55560563690864,2024-12-19,10:24,Minor,Auto,Clear,Wet,City Road,Night,40,3
150,Kolkata,22.638759551129386,88.42772421384396,2024-01-20,10:15,Fatal,Auto,Rainy,Under Construction,Highway,Night,100,1
151,Bangalore,13.003112957858892,77.5245979673875,2024-11-05,07:38,Major,Bus,Cloudy,Dry,Highway,Daylight,60,0
152,Chennai,13.03756019210741,80.28546410425577,2024-12-01,22:51,Major,Car,Foggy,Wet,Rural Road,Night,80,4
153,Hyderabad,17.44071099579654,78.56312441668564,2024-12-21,18:47,Major,Car,Rainy,Under Construction,Highway,Street Lights,60,1
154,Bangalore,13.03344799532311,77.66517726259734,2024-04-27,12:32,Minor,Bicycle,Cloudy,Under Construction,Rural Road,Daylight,40,3
155,Ahmedabad,23.046802424759242,72.46126467674895,2024-05-17,17:02,Minor,Bicycle,Rainy,Dry,City Road,Daylight,50,0
156,Chennai,13.049786322187252,80.31299990766398,2024-03-09,04:19,Minor,Bike,Foggy,Dry,Highway,Night,30,3
157,Kolkata,22.535454372440203,88.33621324662622,2024-02-26,19:23,Minor,Bike,Rainy,Wet,Rural Road,Street Lights,60,1
158,Kolkata,22.50537748554743,88.29007358482185,2024-06-30,09:24,Minor,Truck,Cloudy,Wet,City Road,Street Lights,30,1
159,Chennai,12.888760779178165,80.34142363170889,2024-01-07,05:14,Major,Bus,Cloudy,Under Construction,Rural Road,Daylight,40,0
160,Mumbai,18.950996331449076,72.8353757858123,2024-11-08,04:57,Minor,Car,Foggy,Under Construction,Highway,Daylight,60,2
161,Delhi,28.565312352098765,77.33934586692945,2024-11-22,21:54,Minor,Truck,Clear,Under Construction,City Road,Daylight,30,2
162,Mumbai,19.069388177196945,72.81137864642733,2024-03-05,09:20,Minor,Bike,Rainy,Under Construction,Highway,Street Lights,100,1
163,Hyderabad,17.386663496614034,78.42845976470167,2024-02-28,09:34,Major,Auto,Cloudy,Wet,Rural Road,Night,60,0
164,Kolkata,22.494677102150572,88.40065978448565,2024-09-26,08:39,Minor,Bicycle,Foggy,Dry,City Road,Street Lights,100,2
165,Jaipur,26.995471100458772,75.82773392745733,2024-06-26,10:18,Minor,Bus,Cloudy,Dry,Highway,Daylight,30,1
166,Jaipur,26.69163220805817,75.87236998796568,2024-09-24,01:06,Minor,Bus,Clear,Under Construction,Highway,Street Lights,80,3
167,Hyderabad,17.316252777304058,78.57809081151792,2024-05-08,12:54,Major,Bike,Cloudy,Wet,City Road,Street Lights,50,0
168,Jaipur,26.943590945557794,75.72551041725485,2024-05-10,00:03,Major,Auto,Cloudy,Dry,Highway,Night,40,2
169,Kolkata,22.49207659477763,88.45509028489032,2024-12-29,11:08,Minor,Auto,Cloudy,Wet,City Road,Daylight,80,3
170,Bangalore,12.940259348076495,77.52080718524012,2024-12-03,10:56,Minor,Car,Cloudy,Dry,City Road,Night,50,4
171,Ahmedabad,23.060064733548234,72.49087512071297,2024-01-01,07:54,Minor,Bicycle,Foggy,Under Construction,Highway,Street Lights,30,2
172,Chennai,13.199336418685256,80.22944687729263,2024-02-08,08:34,Fatal,Truck,Clear,Wet,Rural Road,Street Lights,50,0
173,Bangalore,12.846728727779675,77.48035753335193,2024-05-21,03:52,Minor,Car,Cloudy,Wet,City Road,Night,100,3
174,Ahmedabad,23.06576953779851,72.64218008438107,2024-10-10,19:44,Fatal,Bicycle,Cloudy,Wet,Highway,Daylight,60,4
175,Ahmedabad,22.886483610036155,72.61366424277335,2024-05-21,10:52,Major,Bus,Foggy,Wet,Highway,Daylight,100,1
176,Kolkata,22.564244062517005,88.3503942621448,2024-06-06,11:34,Major,Bus,Clear,Under Construction,Highway,Daylight,80,2
177,Delhi,28.63511244218391,77.26035444279692,2024-08-03,00:07,Minor,Car,Foggy,Wet,Highway,Night,80,2
178,Bangalore,13.086173611481971,77.57287804196069,2024-06-27,03:54,Minor,Auto,Foggy,Wet,City Road,Night,50,1
179,Jaipur,26.98494861561006,75.77006014381442,2024-07-28,16:11,Minor,Car,Clear,Dry,Highway,Street Lights,100,2
180,Bangalore,12.86856420883856,77.3840854493264,2024-06-25,12:37,Major,Bus,Cloudy,Dry,City Road,Street Lights,80,1
181,Chennai,13.12111169089779,80.48916937865789,2024-12-28,21:40,Major,Auto,Foggy,Under Construction,Rural Road,Street Lights,30,1
182,Jaipur,27.064495254860244,75.78244713489484,2024-05-26,10:12,Major,Auto,Clear,Dry,Highway,Daylight,80,2
183,Mumbai,19.087589413172605,72.82851817078745,2024-12-03,17:01,Major,Bus,Clear,Dry,City Road,Street Lights,30,3
184,Jaipur,27.05496626544492,75.70208522527332,2024-07-20,01:50,Major,Bicycle,Clear,Dry,Rural Road,Street Lights,60,1
185,Kolkata,22.57726808034284,88.30431726346188,2024-10-22,01:16,Minor,Auto,Clear,Wet,Highway,Street Lights,30,3
186,Jaipur,26.996235364940173,75.7604683421781,2024-04-08,12:54,Minor,Truck,Cloudy,Under Construction,Highway,Street Lights,50,3
187,Ahmedabad,23.016238346895726,72.54375123882426,2024-06-15,01:55,Minor,Car,Clear,Under Construction,Rural Road,Daylight,40,1
188,Hyderabad,17.486891226572133,78.44683856935197,2024-10-31,16:37,Minor,Car,Clear,Wet,Highway,Night,50,4
189,Bangalore,12.9634297247972,77.62734067100777,2024-06-03,13:53,Minor,Auto,Rainy,Wet,Highway,Night,80,3
190,Chennai,13.075225274326641,80.28901859400489,2024-03-27,05:03,Major,Bicycle,Cloudy,Dry,Highway,Night,60,2
191,Chennai,13.0973640169684,80.17627656483282,2024-06-10,12:21,Major,Auto,Foggy,Wet,Highway,Daylight,100,2
192,Jaipur,26.75405601516994,75.8471328204894,2024-04-01,23:34,Minor,Auto,Clear,Under Construction,City Road,Night,30,1
193,Ahmedabad,22.92413603244381,72.61113593785892,2024-12-06,07:27,Major,Bike,Foggy,Wet,Highway,Street Lights,60,3
194,Kolkata,22.59724404316033,88.33256811460626,2024-01-05,16:55,Minor,Bus,Cloudy,Wet,Rural Road,Street Lights,40,3
195,Hyderabad,17.31254141593099,78.43439869290809,2024-08-03,22:14,Minor,Bus,Foggy,Under Construction,Rural Road,Street Lights,60,4
196,Jaipur,27.005664481536673,75.77094360162518,2024-12-17,07:18,Minor,Bicycle,Clear,Under Construction,Rural Road,Night,100,1
197,Chennai,13.26187944319423,80.3075056485078,2024-10-03,15:11,Fatal,Truck,Foggy,Wet,City Road,Daylight,100,2
198,Jaipur,26.902501733098628,75.75878226901054,2024-02-06,00:14,Major,Car,Foggy,Dry,Rural Road,Night,30,1
199,Mumbai,19.0629546428845,72.81810778841549,2024-12-23,10:34,Minor,Bicycle,Cloudy,Wet,Highway,Street Lights,40,4
200,Mumbai,19.06508420293167,72.74827328755534,2024-11-17,01:25,Minor,Truck,Cloudy,Under Construction,City Road,Night,50,1
201,Kolkata,22.551438812695153,88.20359101084746,2024-11-16,16:40,Minor,Truck,Clear,Dry,City Road,Street Lights,30,1
202,Jaipur,26.670839027534335,75.8020079635803,2024-01-10,03:07,Minor,Auto,Cloudy,Under Construction,City Road,Night,60,3
203,Chennai,13.100804074785751,80.30489647399962,2024-01-12,22:30,Major,Truck,Clear,Dry,Rural Road,Daylight,30,1
204,Mumbai,19.1325453943451,72.95212049249936,2024-08-01,05:16,Major,Car,Rainy,Dry,Highway,Daylight,60,0
205,Bangalore,12.958044061001331,77.60656779824589,2024-05-16,01:43,Fatal,Truck,Clear,Dry,City Road,Street Lights,40,4
206,Chennai,13.208202288328229,80.1644522990053,2024-04-29,22:09,Fatal,Auto,Clear,Under Construction,Highway,Street Lights,30,1
207,Kolkata,22.55777303017474,88.224614455195,2024-07-29,11:36,Minor,Bus,Cloudy,Dry,Rural Road,Street Lights,40,0
208,Ahmedabad,22.91013485943443,72.45808018919364,2024-01-13,17:36,Minor,Bicycle,Clear,Dry,Rural Road,Daylight,80,3
209,Mumbai,19.129830897305396,72.8645466847631,2024-10-18,17:02,Major,Bicycle,Clear,Dry,Rural Road,Street Lights,80,2
